100 1000 
54 10 43
76 10 46
78 10 47
97 10 47
70 10 49
12 10 51
43 10 51
44 10 51
47 10 51
96 10 52
52 10 55
74 10 55
76 10 55
35 10 57
72 10 58
1 11 1
44 11 1
26 11 3
74 11 3
85 11 3
95 11 4
78 11 6
88 11 6
97 11 6
74 11 9
62 11 12
62 11 13
20 11 16
81 11 16
92 11 16
3 11 20
8 11 21
14 11 22
88 11 23
77 11 24
24 11 27
84 11 28
29 11 29
58 11 30
58 11 31
89 11 31
49 11 33
18 11 34
84 11 34
36 11 36
87 11 36
24 11 38
62 11 38
83 11 38
34 11 40
97 11 40
65 11 41
20 11 43
26 11 43
57 11 43
78 11 44
42 11 45
41 11 46
91 11 47
63 11 48
67 11 48
2 11 51
21 11 52
48 11 54
47 11 56
93 11 57
94 11 58
97 11 58
77 12 1
30 12 2
90 12 2
61 12 3
44 12 5
74 12 7
5 12 8
63 12 9
23 12 10
97 12 11
10 12 13
20 12 14
86 12 15
94 12 15
48 12 16
68 12 17
80 12 17
43 12 18
17 12 19
79 12 19
32 12 20
35 12 21
18 12 23
21 12 25
98 12 26
4 12 27
95 12 30
73 12 32
18 12 33
24 12 33
16 12 36
50 12 37
90 12 37
14 12 38
59 12 39
99 12 39
12 12 42
20 12 43
91 12 47
74 12 49
69 12 50
54 12 54
66 12 54
81 12 54
3 12 57
18 12 57
14 13 2
48 13 2
95 13 2
15 13 5
39 13 6
35 13 9
18 13 10
80 13 11
7 13 12
23 13 14
35 13 14
90 13 14
48 13 15
100 13 17
2 13 18
59 13 22
33 13 23
71 13 23
52 13 26
63 13 26
96 13 28
79 13 29
100 13 31
2 13 34
8 13 34
29 13 37
67 13 38
22 13 40
16 13 41
24 13 42
87 13 44
97 13 45
30 13 46
42 13 46
23 13 47
79 13 50
3 13 53
1 13 54
2 13 55
7 13 55
50 13 58
92 13 58
44 14 2
75 14 2
33 14 6
16 14 8
45 14 9
41 14 11
69 14 11
49 14 14
83 14 15
11 14 17
5 14 19
36 14 21
69 14 21
60 14 24
81 14 25
37 14 30
14 14 33
21 14 33
35 14 35
22 14 37
40 14 37
67 14 37
74 14 37
40 14 38
83 14 39
24 14 40
32 14 40
45 14 42
62 14 42
26 14 44
94 14 46
69 14 48
30 14 51
93 14 51
12 14 53
2 14 56
92 14 56
52 14 57
68 14 58
37 15 4
42 15 4
84 15 4
50 15 7
30 15 9
58 15 9
90 15 17
45 15 18
64 15 18
84 15 22
71 15 23
56 15 24
74 15 27
35 15 28
97 15 28
38 15 31
8 15 32
89 15 34
15 15 35
66 15 35
48 15 36
48 15 36
66 15 36
5 15 40
21 15 40
25 15 40
6 15 41
100 15 41
32 15 42
100 15 43
31 15 44
79 15 44
12 15 45
77 15 45
33 15 48
10 15 49
12 15 50
38 15 51
98 15 52
81 15 53
43 15 54
67 15 55
71 15 56
85 16 1
56 16 2
42 16 6
4 16 7
99 16 7
56 16 8
75 16 9
47 16 11
91 16 11
4 16 12
15 16 14
19 16 15
73 16 17
93 16 17
1 16 20
72 16 21
75 16 26
31 16 27
54 16 27
59 16 28
5 16 29
33 16 29
82 16 29
76 16 30
98 16 30
13 16 32
20 16 34
49 16 35
83 16 35
44 16 36
88 16 37
1 16 38
10 16 39
53 16 42
63 16 42
5 16 44
78 16 44
65 16 46
74 16 46
36 16 47
4 16 48
50 16 49
80 16 53
52 17 3
97 17 4
79 17 5
78 17 7
85 17 8
52 17 10
100 17 10
99 17 13
40 17 14
100 17 14
57 17 15
61 17 17
39 17 18
98 17 20
38 17 21
85 17 23
1 17 31
39 17 31
40 17 31
71 17 31
88 17 31
80 17 36
61 17 41
40 17 42
81 17 43
27 17 44
95 17 44
46 17 46
56 17 51
19 17 53
83 17 54
43 18 1
15 18 6
30 18 6
98 18 9
20 18 10
87 18 10
82 18 12
32 18 14
18 18 16
68 18 18
8 18 19
25 18 19
14 18 21
87 18 22
4 18 23
60 18 24
39 18 26
8 18 27
48 18 27
99 18 28
25 18 29
65 18 29
10 18 30
17 18 30
63 18 30
65 18 31
77 18 32
3 18 34
32 18 34
63 18 35
93 18 35
55 18 36
55 18 36
82 18 36
15 18 37
18 18 37
42 18 39
46 18 42
57 18 43
20 18 44
60 18 44
61 18 47
90 18 47
91 18 47
87 18 50
1 18 51
16 18 51
2 18 53
62 18 53
84 18 55
12 19 4
68 19 4
50 19 5
80 19 5
97 19 5
32 19 7
20 19 8
52 19 8
95 19 9
83 19 10
97 19 11
13 19 12
9 19 14
46 19 15
100 19 20
90 19 21
49 19 24
63 19 24
35 19 27
81 19 28
56 19 29
13 19 30
23 19 30
60 19 31
61 19 34
85 19 34
94 19 34
59 19 35
23 19 36
3 19 37
95 19 38
90 19 41
1 19 42
19 19 42
90 19 42
37 19 45
31 19 46
70 19 50
69 19 51
12 19 52
23 19 52
70 19 54
96 19 54
15 19 57
80 19 57
83 19 57
46 19 58
24 20 2
85 20 2
92 20 3
54 20 6
46 20 8
66 20 10
82 20 11
98 20 11
16 20 12
100 20 13
69 20 14
27 20 16
36 20 16
66 20 16
27 20 17
71 20 18
69 20 19
48 20 24
77 20 25
67 20 26
76 20 26
36 20 27
15 20 28
18 20 28
67 20 28
89 20 30
20 20 33
61 20 33
77 20 34
40 20 35
83 20 39
18 20 40
19 20 40
79 20 40
91 20 40
64 20 42
19 20 47
30 20 47
74 20 47
20 20 48
26 20 50
65 20 51
45 20 53
73 20 53
46 20 54
42 20 56
45 20 58
66 20 58
4 21 1
19 21 3
54 21 3
60 21 3
63 21 6
69 21 7
19 21 9
86 21 9
21 21 15
11 21 17
64 21 18
32 21 21
88 21 21
39 21 22
6 21 23
72 21 23
74 21 24
4 21 28
22 21 28
87 21 29
93 21 30
100 21 32
65 21 33
98 21 34
94 21 35
6 21 36
21 21 37
35 21 38
60 21 38
39 21 40
43 21 40
92 21 41
99 21 41
20 21 43
94 21 43
61 21 44
57 21 46
71 21 48
92 21 50
52 21 53
80 21 56
88 21 57
81 21 58
62 22 1
89 22 1
31 22 3
29 22 11
42 22 13
86 22 13
67 22 15
85 22 20
92 22 22
20 22 24
85 22 25
35 22 26
8 22 27
35 22 27
73 22 27
64 22 30
82 22 32
25 22 34
81 22 38
49 22 39
5 22 41
2 22 42
68 22 44
60 22 47
60 22 47
50 22 50
27 22 53
98 22 53
11 22 54
59 22 58
90 22 58
