év	időtartam	értékelés	rendező	bevétel	cím
1931	87	8.5	Charles Chaplin	19181	City Lights
2002	150	8.5	Roman Polanski	32572577	The Pianist
1998	119	8.5	Tony Kaye	6719864	American History X
2011	112	8.5	Olivier Nakache	13182281	The Intouchables
2000	155	8.5	Ridley Scott	187705427	Gladiator
2019	122	8.5	Todd Phillips	335451311	Joker
2014	106	8.5	Damien Chazelle	13092000	Whiplash
2006	151	8.5	Martin Scorsese	132384315	The Departed
1995	106	8.5	Bryan Singer	23341568	The Usual Suspects
1994	110	8.5	Luc Besson	19501238	Léon
1960	109	8.5	Alfred Hitchcock	32000000	Psycho
2006	130	8.5	Christopher Nolan	53089891	The Prestige
1994	88	8.5	Roger Allers	422783777	The Lion King
1991	137	8.5	James Cameron	204843350	Terminator 2: Judgment Day
1988	155	8.5	Giuseppe Tornatore	11990401	Nuovo Cinema Paradiso
1985	116	8.5	Robert Zemeckis	210609762	Back to the Future
1968	165	8.5	Sergio Leone	5321508	Once Upon a Time in the West
1942	102	8.5	Michael Curtiz	1024560	Casablanca
2017	125	8.4	Can Ulkay	0	Ayla: The Daughter of War
2017	147	8.4	Gayatri	0	Vikram Vedha
1971	122	8.4	Hrishikesh Mukherjee	0	Anand
1963	143	8.4	Akira Kurosawa	0	Tengoku to jigoku
1950	110	8.4	Billy Wilder	0	Sunset Blvd.
1957	88	8.4	Stanley Kubrick	0	Paths of Glory
1940	125	8.4	Charles Chaplin	288475	The Great Dictator
1979	147	8.4	Francis Ford Coppola	83471511	Apocalypse Now
1979	117	8.4	Ridley Scott	78900000	Alien
2019	181	8.4	Anthony Russo	858373000	Avengers: Endgame
2018	149	8.4	Anthony Russo	678815482	Avengers: Infinity War
2012	164	8.4	Christopher Nolan	448139099	The Dark Knight Rises
2009	170	8.4	Rajkumar Hirani	6532908	3 Idiots
2000	113	8.4	Christopher Nolan	25544867	Memento
2018	126	8.4	Nadine Labaki	1661096	Capharnaüm
2012	165	8.4	Quentin Tarantino	162805434	Django Unchained
2006	137	8.4	Florian Henckel von Donnersmarck	11286112	The Lives of Others
2003	101	8.4	Chan-wook Park	707481	Oldeuboi
1984	229	8.4	Sergio Leone	5321508	Once Upon a Time in America
1981	115	8.4	Steven Spielberg	248159971	Raiders of the Lost Ark
1980	146	8.4	Stanley Kubrick	44017374	The Shining
1964	95	8.4	Stanley Kubrick	275902	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
2016	106	8.4	Makoto Shinkai	5017246	Kimi no na wa.
2016	161	8.4	Nitesh Tiwari	12391761	Dangal
2018	117	8.4	Bob Persichetti	190241310	Spider-Man: Into the Spider-Verse
2017	105	8.4	Lee Unkrich	209726015	Coco
2007	165	8.4	Aamir Khan	1223869	Taare Zameen Par
2008	98	8.4	Andrew Stanton	223808164	WALL·E
1997	134	8.4	Hayao Miyazaki	2375308	Mononoke-hime
1957	116	8.4	Billy Wilder	8175000	Witness for the Prosecution
1954	112	8.4	Alfred Hitchcock	36764313	Rear Window
2018	104	8.3	Rahi Anil Barve	0	Tumbbad
2013	160	8.3	Jeethu Joseph	0	Drishyam
2019	132	8.3	Mehmet Ada Öztekin	0	Miracle in cell NO.7
2005	112	8.3	Çagan Irmak	0	Babam ve Oglum
1985	142	8.3	Elem Klimov	0	Idi i smotri
2011	123	8.3	Asghar Farhadi	7098492	Jodaeiye Nader az Simin
1997	89	8.3	Majid Majidi	933933	Bacheha-Ye aseman
1952	103	8.3	Stanley Donen	8819028	Singin' in the Rain
1952	143	8.3	Akira Kurosawa	55240	Ikiru
1948	89	8.3	Vittorio De Sica	332930	Ladri di biciclette
1944	107	8.3	Billy Wilder	5720000	Double Indemnity
1931	117	8.3	Fritz Lang	28877	M - Eine Stadt sucht einen Mörder
1927	153	8.3	Fritz Lang	1236166	Metropolis
1921	68	8.3	Charles Chaplin	5450000	The Kid
2019	119	8.3	Sam Mendes	159227644	1917
2012	115	8.3	Thomas Vinterberg	687185	Jagten
2010	131	8.3	Denis Villeneuve	6857096	Incendies
1992	99	8.3	Quentin Tarantino	2832029	Reservoir Dogs
1984	160	8.3	Milos Forman	51973029	Amadeus
1981	149	8.3	Wolfgang Petersen	11487676	Das Boot
2018	139	8.3	Sriram Raghavan	1373943	Andhadhun
2004	108	8.3	Michel Gondry	34400301	Eternal Sunshine of the Spotless Mind
2000	104	8.3	Guy Ritchie	30328156	Snatch
1999	122	8.3	Sam Mendes	130096601	American Beauty
1987	116	8.3	Stanley Kubrick	46357676	Full Metal Jacket
1941	119	8.3	Orson Welles	1585634	Citizen Kane
2009	153	8.3	Quentin Tarantino	120540719	Inglourious Basterds
2000	102	8.3	Darren Aronofsky	3635482	Requiem for a Dream
1995	178	8.3	Mel Gibson	75600000	Braveheart
1983	170	8.3	Brian De Palma	45598982	Scarface
1976	114	8.3	Martin Scorsese	28262574	Taxi Driver
1971	136	8.3	Stanley Kubrick	6207725	A Clockwork Orange
1958	128	8.3	Alfred Hitchcock	3200000	Vertigo
2001	122	8.3	Jean-Pierre Jeunet	33225499	Amélie
1997	126	8.3	Gus Van Sant	138433435	Good Will Hunting
1995	81	8.3	John Lasseter	191796233	Toy Story
1986	137	8.3	James Cameron	85160248	Aliens
1983	131	8.3	Richard Marquand	309125409	Star Wars: Episode VI - Return of the Jedi
1973	129	8.3	George Roy Hill	159600000	The Sting
1968	149	8.3	Stanley Kubrick	56954992	2001: A Space Odyssey
1965	132	8.3	Sergio Leone	15000000	Per qualche dollaro in più
1962	228	8.3	David Lean	44824144	Lawrence of Arabia
1960	125	8.3	Billy Wilder	18600000	The Apartment
1959	136	8.3	Alfred Hitchcock	13275000	North by Northwest
2018	156	8.2	Prashanth Neel	0	K.G.F: Chapter 1
2000	156	8.2	Priyadarshan	0	Hera Pheri
1996	128	8.2	Yavuz Turgul	0	Eskiya
1994	160	8.2	Rajkumar Santoshi	0	Andaz Apna Apna
1978	99	8.2	Ingmar Bergman	0	Höstsonaten
1976	177	8.2	Moustapha Akkad	0	The Message
1975	204	8.2	Ramesh Sippy	0	Sholay
1961	110	8.2	Akira Kurosawa	0	Yôjinbô
1953	136	8.2	Yasujirô Ozu	0	Tôkyô monogatari
2019	96	8.2	Sergio Pablos	0	Klaus
2012	321	8.2	Anurag Kashyap	0	Gangs of Wasseypur
1962	129	8.2	Robert Mulligan	0	To Kill a Mockingbird
1961	179	8.2	Stanley Kramer	0	Judgment at Nuremberg
1957	91	8.2	Ingmar Bergman	0	Smultronstället
1957	96	8.2	Ingmar Bergman	0	Det sjunde inseglet
1942	99	8.2	Ernst Lubitsch	0	To Be or Not to Be
2013	87	8.2	Zaza Urushadze	144501	Mandariinid
1975	91	8.2	Terry Gilliam	1229197	Monty Python and the Holy Grail
1955	118	8.2	Jules Dassin	57226	Du rififi chez les hommes
1950	88	8.2	Akira Kurosawa	96568	Rashômon
1950	138	8.2	Joseph L. Mankiewicz	10177	All About Eve
1948	126	8.2	John Huston	5014000	The Treasure of the Sierra Madre
1925	95	8.2	Charles Chaplin	5450000	The Gold Rush
1924	45	8.2	Buster Keaton	977375	Sherlock Jr.
2009	129	8.2	Juan José Campanella	6391436	El secreto de sus ojos
2004	156	8.2	Oliver Hirschbiegel	5509040	Der Untergang
1988	142	8.2	Emir Kusturica	280015	Dom za vesanje
2019	143	8.2	Nitesh Tiwari	898575	Chhichhore
2018	138	8.2	Aditya Dhar	4186168	Uri: The Surgical Strike
2018	130	8.2	Peter Farrelly	85080171	Green Book
2015	132	8.2	Meghna Gulzar	342370	Talvar
2017	167	8.2	S.S. Rajamouli	20186659	Baahubali 2: The Conclusion
2015	163	8.2	Nishikant Kamat	739478	Drishyam
2013	146	8.2	Vikas Bahl	1429534	Queen
2010	134	8.2	Vikramaditya Motwane	7461	Udaan
2012	135	8.2	Tigmanshu Dhulia	39567	Paan Singh Tomar
2011	140	8.2	Gavin O'Connor	13657115	Warrior
2006	118	8.2	Guillermo del Toro	37634615	Pan's Labyrinth
2006	167	8.2	Rakeysh Omprakash Mehra	2197331	Rang De Basanti
2005	140	8.2	Christopher Nolan	206852432	Batman Begins
2001	135	8.2	Ron Howard	170742341	A Beautiful Mind
2017	115	8.2	Martin McDonagh	54513740	Three Billboards Outside Ebbing, Missouri
2010	138	8.2	Martin Scorsese	128012934	Shutter Island
2013	180	8.2	Martin Scorsese	116900694	The Wolf of Wall Street
2007	158	8.2	Paul Thomas Anderson	40222514	There Will Be Blood
2005	132	8.2	James McTeigue	70511035	V for Vendetta
1998	107	8.2	Guy Ritchie	3897569	Lock, Stock and Two Smoking Barrels
1997	138	8.2	Curtis Hanson	64616940	L.A. Confidential
1995	170	8.2	Michael Mann	67436818	Heat
1995	178	8.2	Martin Scorsese	42438300	Casino
1992	130	8.2	Clint Eastwood	101157447	Unforgiven
1988	132	8.2	John McTiernan	83008852	Die Hard
1980	129	8.2	Martin Scorsese	23383987	Raging Bull
1954	105	8.2	Alfred Hitchcock	12562	Dial M for Murder
2013	186	8.2	Rakeysh Omprakash Mehra	1626289	Bhaag Milkha Bhaag
2009	96	8.2	Pete Docter	293004164	Up
2007	153	8.2	Shimit Amin	1113541	Chak De! India
2010	103	8.2	Lee Unkrich	415004880	Toy Story 3
2005	122	8.2	Sanjay Leela Bhansali	733094	Black
2004	210	8.2	Ashutosh Gowariker	1223240	Swades: We, the People
2004	119	8.2	Hayao Miyazaki	4711096	Hauru no ugoku shiro
1989	127	8.2	Steven Spielberg	197171806	Indiana Jones and the Last Crusade
1988	86	8.2	Hayao Miyazaki	1105564	Tonari no Totoro
1985	162	8.2	Akira Kurosawa	4135750	Ran
1979	162	8.2	Andrei Tarkovsky	234723	Stalker
1963	172	8.2	John Sturges	12100000	The Great Escape
1959	121	8.2	Billy Wilder	25000000	Some Like It Hot
2016	106	8.1	Oriol Paulo	0	Contratiempo
2008	104	8.1	Neeraj Pandey	0	A Wednesday
2009	93	8.1	Lasse Hallström	0	Hachi: A Dog's Tale
2009	92	8.1	Adam Elliot	0	Mary and Max
2003	156	8.1	Rajkumar Hirani	0	Munna Bhai M.B.B.S.
1997	87	8.1	Hideaki Anno	0	Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni
1995	189	8.1	Aditya Chopra	0	Dilwale Dulhania Le Jayenge
1982	158	8.1	Werner Herzog	0	Fitzcarraldo
1962	95	8.1	Luis Buñuel	0	El ángel exterminador
1962	96	8.1	Akira Kurosawa	0	Sanjuro
1962	95	8.1	Andrei Tarkovsky	0	Ivanovo detstvo
1959	99	8.1	François Truffaut	0	Les quatre cents coups
1958	139	8.1	Akira Kurosawa	0	Kakushi-toride no san-akunin
1957	110	8.1	Akira Kurosawa	0	Kumonosu-jô
1949	114	8.1	Raoul Walsh	0	White Heat
1920	76	8.1	Robert Wiene	0	Das Cabinet des Dr. Caligari
2016	130	8.1	Naoko Yamada	0	Koe no katachi
2020	100	8.1	Pete Docter	0	Soul
2012	117	8.1	Mamoru Hosoda	0	Ôkami kodomo no Ame to Yuki
1980	124	8.1	David Lynch	0	The Elephant Man
1976	121	8.1	Sidney Lumet	0	Network
1975	185	8.1	Stanley Kubrick	0	Barry Lyndon
1972	167	8.1	Andrei Tarkovsky	0	Solaris
1966	85	8.1	Ingmar Bergman	0	Persona
1962	123	8.1	John Ford	0	The Man Who Shot Liberty Valance
1960	128	8.1	Stanley Kramer	0	Inherit the Wind
1953	131	8.1	Henri-Georges Clouzot	0	Le salaire de la peur
1928	72	8.1	Charles Chaplin	0	The Circus
2014	196	8.1	Nuri Bilge Ceylan	165520	Kis Uykusu
2014	93	8.1	Tomm Moore	857524	Song of the Sea
2008	130	8.1	Yôjirô Takita	1498210	Okuribito
2004	121	8.1	Terry George	23530892	Hotel Rwanda
2001	183	8.1	Farhan Akhtar	300000	Dil Chahta Hai
1995	170	8.1	Emir Kusturica	171082	Underground
1991	125	8.1	Yimou Zhang	2603061	Dà hóng denglong gaogao guà
1975	107	8.1	Andrei Tarkovsky	177345	Zerkalo
1967	105	8.1	Jean-Pierre Melville	39481	Le samouraï
1966	121	8.1	Gillo Pontecorvo	55908	La battaglia di Algeri
1962	134	8.1	Robert Aldrich	4050000	What Ever Happened to Baby Jane?
1957	110	8.1	Federico Fellini	752045	Le notti di Cabiria
1957	161	8.1	David Lean	44908000	The Bridge on the River Kwai
1951	111	8.1	Billy Wilder	3969893	Ace in the Hole
1949	104	8.1	Carol Reed	449191	The Third Man
1948	135	8.1	Michael Powell	10900000	The Red Shoes
1940	99	8.1	Ernst Lubitsch	203300	The Shop Around the Corner
1940	130	8.1	Alfred Hitchcock	4360000	Rebecca
1939	129	8.1	Frank Capra	9600000	Mr. Smith Goes to Washington
1937	113	8.1	Jean Renoir	172885	La Grande Illusion
1934	105	8.1	Frank Capra	4360000	It Happened One Night
1928	110	8.1	Carl Theodor Dreyer	21877	La passion de Jeanne d'Arc
1927	94	8.1	F.W. Murnau	539540	Sunrise: A Song of Two Humans
1926	67	8.1	Clyde Bruckman	1033895	The General
2019	122	8.1	Céline Sciamma	3759854	Portrait de la jeune fille en feu
2014	139	8.1	Xavier Dolan	3492754	Mommy
2015	118	8.1	Lenny Abrahamson	14677674	Room
2014	122	8.1	Damián Szifron	3107072	Relatos salvajes
2008	116	8.1	Clint Eastwood	148095302	Gran Torino
2007	148	8.1	Sean Penn	18354356	Into the Wild
2007	122	8.1	Ethan Coen	74283625	No Country for Old Men
2004	140	8.1	Je-kyu Kang	1111061	Taegukgi hwinalrimyeo
2004	80	8.1	Richard Linklater	5820649	Before Sunset
2003	111	8.1	Quentin Tarantino	70099045	Kill Bill: Vol. 1
1998	127	8.1	Emir Kusturica	348660	Crna macka, beli macor
1998	117	8.1	Joel Coen	17498804	The Big Lebowski
1995	101	8.1	Richard Linklater	5535405	Before Sunrise
1993	171	8.1	Kaige Chen	5216888	Ba wang bie ji
1979	94	8.1	Terry Jones	20045115	Life of Brian
1966	205	8.1	Andrei Tarkovsky	102021	Andrei Rublev
2016	136	8.1	Aniruddha Roy Chowdhury	1241223	Pink
2014	160	8.1	Vishal Bhardwaj	901610	Haider
2014	153	8.1	Rajkumar Hirani	10616104	PK
2014	99	8.1	Wes Anderson	59100318	The Grand Budapest Hotel
2013	123	8.1	Ron Howard	26947624	Rush
2019	152	8.1	James Mangold	117624028	Ford v Ferrari
2012	122	8.1	Sujoy Ghosh	1035953	Kahaani
2015	120	8.1	George Miller	154058340	Mad Max: Fury Road
2011	130	8.1	David Yates	381011219	Harry Potter and the Deathly Hallows: Part 2
2004	132	8.1	Clint Eastwood	100492203	Million Dollar Baby
2003	131	8.1	Bong Joon Ho	14131	Salinui chueok
1995	98	8.1	Mathieu Kassovitz	309811	La haine
1993	127	8.1	Steven Spielberg	402453882	Jurassic Park
1993	133	8.1	Jim Sheridan	25010410	In the Name of the Father
1982	95	8.1	Alan Parker	22244207	Pink Floyd: The Wall
1982	117	8.1	Ridley Scott	32868943	Blade Runner
1974	130	8.1	Roman Polanski	29000000	Chinatown
2016	145	8.1	Chan-wook Park	2006788	Ah-ga-ssi
2017	137	8.1	James Mangold	226277068	Logan
2014	149	8.1	David Fincher	167767189	Gone Girl
2016	139	8.1	Mel Gibson	67209615	Hacksaw Ridge
2013	134	8.1	Steve McQueen	56671993	12 Years a Slave
2015	129	8.1	Tom McCarthy	45055776	Spotlight
2013	153	8.1	Denis Villeneuve	61002302	Prisoners
2002	141	8.1	Steven Spielberg	164615351	Catch Me If You Can
2000	154	8.1	Alejandro G. Iñárritu	5383834	Amores perros
1999	107	8.1	M. Night Shyamalan	293506292	The Sixth Sense
1996	93	8.1	Danny Boyle	16501785	Trainspotting
1996	98	8.1	Joel Coen	24611975	Fargo
1986	120	8.1	Oliver Stone	138530565	Platoon
1982	109	8.1	John Carpenter	13782838	The Thing
1982	188	8.1	Ingmar Bergman	4971340	Fanny och Alexander
1978	183	8.1	Michael Cimino	48979328	The Deer Hunter
1972	91	8.1	Ingmar Bergman	1742348	Viskningar och rop
1967	127	8.1	Stuart Rosenberg	16217773	Cool Hand Luke
1960	89	8.1	Ingmar Bergman	1526000	Jungfrukällan
1954	108	8.1	Elia Kazan	9600000	On the Waterfront
2012	125	8.1	Umesh Shukla	923221	OMG: Oh My God!
2015	95	8.1	Pete Docter	356461711	Inside Out
2012	151	8.1	Anurag Basu	2804874	Barfi!
2011	155	8.1	Zoya Akhtar	3108485	Zindagi Na Milegi Dobara
2010	98	8.1	Dean DeBlois	217581231	How to Train Your Dragon
2006	144	8.1	Rajkumar Hirani	2217561	Lage Raho Munna Bhai
2003	100	8.1	Andrew Stanton	380843261	Finding Nemo
2001	92	8.1	Pete Docter	289916256	Monsters, Inc.
2001	224	8.1	Ashutosh Gowariker	70147	Lagaan: Once Upon a Time in India
1998	169	8.1	Giuseppe Tornatore	259127	La leggenda del pianista sull'oceano
1998	103	8.1	Peter Weir	125618201	The Truman Show
2000	98	8.1	Kar-Wai Wong	2734044	Fa yeung nin wah
1994	99	8.1	Krzysztof Kieslowski	4043686	Trois couleurs: Rouge
1994	102	8.1	Kar-Wai Wong	600200	Chung Hing sam lam
1989	128	8.1	Peter Weir	95860116	Dead Poets Society
1986	89	8.1	Rob Reiner	52287414	Stand by Me
1984	145	8.1	Wim Wenders	2181987	Paris, Texas
1984	117	8.1	Hayao Miyazaki	495770	Kaze no tani no Naushika
1976	120	8.1	John G. Avildsen	117235247	Rocky
1973	102	8.1	Peter Bogdanovich	30933743	Paper Moon
1959	212	8.1	William Wyler	74700000	Ben-Hur
1939	238	8.1	Victor Fleming	198676459	Gone with the Wind
2018	124	8	Amit Ravindernath Sharma	0	Badhaai ho
2016	130	8	Raja Menon	0	Airlift
2015	159	8	Neeraj Pandey	0	Baby
2009	128	8	Levent Semerci	0	Nefes: Vatan Sagolsun
2004	127	8	Ömer Faruk Sorak	0	G.O.R.A.
2001	137	8	Jae-young Kwak	0	Yeopgijeogin geunyeo
2001	110	8	Yilmaz Erdogan	0	Vizontele
1962	80	8	Jean-Luc Godard	0	Vivre sa vie: Film en douze tableaux
1954	108	8	Federico Fellini	0	La Strada
1955	117	8	Henri-Georges Clouzot	0	Les diaboliques
1950	94	8	Nicholas Ray	0	In a Lonely Place
1949	106	8	Robert Hamer	0	Kind Hearts and Coronets
1947	97	8	Jacques Tourneur	0	Out of the Past
1942	118	8	Frank Capra	0	Arsenic and Old Lace
1939	110	8	Jean Renoir	0	La règle du jeu
2019	113	8	Ericson Core	0	Togo
2008	106	8	Wilson Yip	0	Yip Man
1986	125	8	Hayao Miyazaki	0	Tenkû no shiro Rapyuta
1980	180	8	Akira Kurosawa	0	Kagemusha
1968	137	8	Roman Polanski	0	Rosemary's Baby
1966	131	8	Mike Nichols	0	Who's Afraid of Virginia Woolf?
1957	96	8	Alexander Mackendrick	0	Sweet Smell of Success
1956	84	8	Stanley Kubrick	0	The Killing
1953	120	8	Billy Wilder	0	Stalag 17
1953	118	8	William Wyler	0	Roman Holiday
1948	80	8	Alfred Hitchcock	0	Rope
1945	86	8	David Lean	0	Brief Encounter
1934	91	8	W.S. Van Dyke	0	The Thin Man
2010	115	8	José Padilha	100119	Tropa de Elite 2: O Inimigo Agora é Outro
2009	119	8	Asghar Farhadi	106662	Darbareye Elly
2007	96	8	Vincent Paronnaud	4445756	Persepolis
2007	112	8	Julian Schnabel	5990075	Le scaphandre et le papillon
2006	144	8	Martin Campbell	167445960	Casino Royale
2003	110	8	Andrey Zvyagintsev	502028	Vozvrashchenie
1999	86	8	Brad Bird	23159305	The Iron Giant
1997	87	8	Thomas Jahn	3296	Knockin' on Heaven's Door
1991	84	8	Gary Trousdale	218967620	Beauty and the Beast
1979	130	8	Hal Ashby	30177511	Being There
1972	138	8	Joseph L. Mankiewicz	4081254	Sleuth
1971	181	8	Norman Jewison	80500000	Fiddler on the Roof
1969	110	8	George Roy Hill	102308889	Butch Cassidy and the Sundance Kid
1963	138	8	Federico Fellini	50690	8½
1959	141	8	Howard Hawks	12535000	Rio Bravo
1959	161	8	Otto Preminger	11900000	Anatomy of a Murder
1958	95	8	Orson Welles	2237659	Touch of Evil
1955	92	8	Charles Laughton	654000	The Night of the Hunter
1944	88	8	Otto Preminger	4360000	Laura
1946	170	8	William Wyler	23650000	The Best Years of Our Lives
1941	100	8	John Huston	2108060	The Maltese Falcon
1940	129	8	John Ford	55000	The Grapes of Wrath
1925	75	8	Sergei M. Eisenstein	50970	Bronenosets Potemkin
2013	96	8	Destin Daniel Cretton	1010414	Short Term 12
2016	108	8	Tim Miller	363070709	Deadpool
2007	115	8	José Padilha	8060	Tropa de Elite
2013	117	8	Jean-Marc Vallée	27298285	Dallas Buyers Club
2003	103	8	Ki-duk Kim	2380788	Bom Yeoareum Gaeul Gyeoul Geurigo Bom
2003	178	8	Lars von Trier	1530386	Dogville
2001	113	8	Richard Kelly	1480006	Donnie Darko
1999	188	8	Paul Thomas Anderson	22455976	Magnolia
1998	105	8	Thomas Vinterberg	1647780	Festen
1998	110	8	Walter Salles	5595428	Central do Brasil
1996	135	8	Billy Bob Thornton	24475416	Sling Blade
1993	180	8	Taylor Hackford	4496583	Bound by Honor
1989	120	8	Spike Lee	27545445	Do the Right Thing
1973	151	8	Franklin J. Schaffner	53267000	Papillon
1971	118	8	Peter Bogdanovich	29133000	The Last Picture Show
2015	163	8	Kabir Khan	8178001	Bajrangi Bhaijaan
2015	144	8	Ridley Scott	228433663	The Martian
2015	159	8	S.S. Rajamouli	6738000	Bãhubali: The Beginning
2019	154	8	Zoya Akhtar	5566534	Gully Boy
2013	144	8	Neeraj Pandey	1079369	Special Chabbis
2014	114	8	Morten Tyldum	91125683	The Imitation Game
2014	121	8	James Gunn	333176600	Guardians of the Galaxy
2017	164	8	Denis Villeneuve	92054159	Blade Runner 2049
2018	134	8	Bryan Singer	216428042	Bohemian Rhapsody
2012	103	8	Stephen Chbosky	17738570	The Perks of Being a Wallflower
2011	146	8	Tate Taylor	169708112	The Help
2010	165	8	Karan Johar	4018695	My Name Is Khan
2008	120	8	Danny Boyle	141319928	Slumdog Millionaire
2012	143	8	Joss Whedon	623279547	The Avengers
2007	115	8	Paul Greengrass	227471070	The Bourne Ultimatum
2005	144	8	Ron Howard	61649911	Cinderella Man
2002	101	8	Andrew Lau	169659	Mou gaan dou
2003	143	8	Gore Verbinski	305413918	Pirates of the Caribbean: The Curse of the Black Pearl
1995	83	8	Mamoru Oshii	515905	Kôkaku Kidôtai
1992	156	8	Martin Brest	63895607	Scent of a Woman
1991	189	8	Oliver Stone	70405498	JFK
1988	124	8	Katsuhiro Ôtomo	553171	Akira
1984	107	8	James Cameron	38400000	The Terminator
1970	113	8	Bernardo Bertolucci	541940	Il conformista
2016	128	8	Damien Chazelle	151101803	La La Land
2014	150	8	Gareth Evans	2625803	Serbuan maut 2: Berandal
2013	126	8	Spike Jonze	25568251	Her
2015	156	8	Alejandro G. Iñárritu	183637894	The Revenant
2009	144	8	Anurag Kashyap	10950	Dev.D
2010	108	8	Darren Aronofsky	106954678	Black Swan
2006	143	8	Edward Zwick	57366262	Blood Diamond
2005	124	8	Frank Miller	74103820	Sin City
2004	137	8	Quentin Tarantino	66208183	Kill Bill: Vol. 2
1997	81	8	Satoshi Kon	776665	Pâfekuto burû
1995	129	8	Terry Gilliam	57141459	Twelve Monkeys
1977	93	8	Woody Allen	39200000	Annie Hall
1975	124	8	Steven Spielberg	260000000	Jaws
1974	106	8	Mel Brooks	86300000	Young Frankenstein
1973	122	8	William Friedkin	232906145	The Exorcist
1967	106	8	Mike Nichols	104945305	The Graduate
1965	197	8	David Lean	111722000	Doctor Zhivago
1964	99	8	Sergio Leone	14500000	Per un pugno di dollari
1961	134	8	Robert Rossen	8284000	The Hustler
1960	174	8	Federico Fellini	19516000	La dolce vita
1958	108	8	Richard Brooks	17570324	Cat on a Hot Tin Roof
1951	122	8	Elia Kazan	8000000	A Streetcar Named Desire
2016	118	8	Garth Davis	51739495	Lion
2016	108	8	Byron Howard	341268248	Zootopia
2013	137	8	Isao Takahata	1506975	Kaguyahime no monogatari
2017	113	8	Stephen Chbosky	132422809	Wonder
2010	118	8	Tom Hooper	138797449	The King's Speech
2006	117	8	Gabriele Muccino	163566459	The Pursuit of Happyness
2004	88	8	Ki-duk Kim	238507	Bin-jip
2007	111	8	Brad Bird	206445654	Ratatouille
2014	126	8	Alejandro Amenábar	2086345	Mar adentro
2003	186	8	Nikkhil Advani	1787378	Kal Ho Naa Ho
2003	125	8	Tim Burton	66257002	Big Fish
2004	115	8	Brad Bird	261441092	The Incredibles
2000	140	8	Lars von Trier	4184036	Dancer in the Dark
1999	112	8	David Lynch	6203044	The Straight Story
1996	136	8	Mike Leigh	13417292	Secrets & Lies
1993	76	8	Henry Selick	75082668	The Nightmare Before Christmas
1993	101	8	Harold Ramis	70906973	Groundhog Day
1992	90	8	Ron Clements	217350219	Aladdin
1990	181	8	Kevin Costner	184208848	Dances with Wolves
1988	133	8	Barry Levinson	178800000	Rain Man
1987	98	8	Rob Reiner	30857814	The Princess Bride
1987	128	8	Wim Wenders	3333969	Der Himmel über Berlin
1987	104	8	Louis Malle	4542825	Au revoir les enfants
1982	191	8	Richard Attenborough	52767889	Gandhi
1975	125	8	Sidney Lumet	50000000	Dog Day Afternoon
1968	112	8	Franklin J. Schaffner	33395426	Planet of the Apes
1965	172	8	Robert Wise	163214286	The Sound of Music
1939	102	8	Victor Fleming	2076020	The Wizard of Oz
1930	152	8	Lewis Milestone	3270000	All Quiet on the Western Front
2020	101	7.9	Mukesh Chhabra	0	Dil Bechara
