id	cim	mufajid	bemutato	utolso	hanyszor	nezoszam
53	Énekes madár	52	1995.04.25	1996.07.02	16	8323
54	A kaktusz virága	21	2012.03.21	2014.02.11	21	12595
56	A végzet hatalma	42	2016.11.12	2018.01.21	18	10135
57	Warrenné mestersége	2	2011.05.23	2012.11.27	9	4792
58	Rómeó és Júlia	64	2012.09.16	2014.09.05	10	5753
59	New York csalogánya	28	1999.05.08	2001.01.07	22	13329
60	Callas	51	2017.07.18	2018.10.28	6	3378
61	Lear király	64	2003.02.20	2005.01.14	12	6683
62	Háztűznéző	28	2001.08.28	2002.02.20	27	16028
63	Musical hangjai	66	2014.10.28	2015.07.15	23	13513
64	Úri divat	28	2011.04.04	2011.08.20	27	16524
65	Szentivánéji álom	27	2002.03.08	2003.10.15	20	11261
66	Mesél a bécsi erdő	49	2024.03.29	2024.07.09	12	6022
67	Az öreg hölgy látogatása	7	2005.12.08	2007.04.27	18	10465
69	Építsünk hidat	7	2022.07.14	2024.03.20	15	6701
70	Zerline, a szobalány története	19	2011.08.10	2012.05.12	18	8813
71	Aranycsapat	65	2002.03.23	2003.10.21	10	5875
72	Gazdálkodj okosan	58	2011.09.05	2012.04.03	18	9804
73	Pastorale	7	1998.12.31	1999.05.08	20	11506
74	A víg özvegy	43	2019.12.24	2021.09.20	18	10025
76	Molnár László - G. Donizetti - E. Giraldoni: Május / Bolondokháza	50	2002.06.03	2003.11.26	4	2326
77	Sevilla, se borbély	57	2014.11.16	2016.07.29	19	10465
78	Bánk bán	64	2024.08.03	2026.06.27	10	5630
79	Virágot Algernonnak	7	2003.08.16	2004.04.09	17	9156
80	Színészköztársaság	38	1992.01.30	1992.09.29	22	12656
81	G. Puccini: Gianni Schicchi: A köpeny - Gianni Schicchi	42	1998.12.30	2000.01.10	14	7368
82	Andersen	66	2009.09.15	2011.09.04	17	9884
83	Teljes napfogyatkozás	26	2019.05.02	2020.02.26	19	10465
84	EQUUS	19	2021.02.18	2021.12.30	13	6763
85	Mária Terézia	42	1996.03.15	1996.09.23	11	5991
86	West side story	66	1995.08.29	1996.03.26	14	8397
87	Álarcosbál	42	2003.09.30	2004.07.12	20	10771
88	Traviata	42	2003.02.20	2004.04.27	13	7479
89	Tosca	42	2002.04.23	2002.12.03	18	10245
90	Menekülés	7	2018.07.05	2019.11.29	16	8029
91	Matyi elszabadul, avagy sok lúd disznót győz	3	1997.07.05	1999.06.07	17	9364
92	Ők tudják, mi a szerelem; Antipygmalion, avagy tudják ők, mi a szerelem?	61	2000.02.13	2000.07.15	29	16328
93	Nő a múltból	19	2011.12.14	2012.10.23	20	11261
94	Az özvegy Karnyóné és a két szeleburdiak	21	2013.02.16	2013.09.06	35	19921
95	Királyasszony lovagja (Ruy Blas)	7	2001.12.23	2002.12.06	15	7895
96	Mátyás mesék	3	1995.11.14	1996.09.04	18	10686
97	A Kékszakállú herceg vára	42	1996.05.30	1997.08.06	11	5857
98	Raoul	7	2022.01.02	2022.04.26	19	10581
99	Figaro házassága	57	2022.07.29	2023.02.21	15	8170
100	A tévedések komédiája	28	1999.03.07	2001.01.22	34	19768
101	Tartuffe	28	2019.10.08	2021.06.30	28	16279
102	A Janika	19	2004.12.30	2006.09.06	18	9143
103	Édes Anna	19	2017.03.07	2018.12.18	12	6022
105	A kávéház	28	1994.02.11	1995.01.16	33	19590
106	Tél	19	1996.09.12	1997.09.26	12	6463
107	La Mancha lovagja	66	2003.10.04	2004.12.14	17	9884
108	Mária főhadnagy	43	2019.04.19	2020.12.10	14	8140
109	Csalóka Péter	3	2021.02.15	2022.07.09	20	12118
110	Parasztopera	40	1996.03.19	1996.07.26	9	4572
111	A dráma-gépezet imitációja	13	2006.11.03	2007.03.13	9	4682
112	Történetek a bécsi erdőből	46	2003.03.01	2003.10.13	17	9884
113	Ványabácsi	58	1994.05.22	1995.04.04	28	16622
114	Válás Veronában	46	1996.02.16	1997.12.11	20	11995
115	Luxemburg grófja	24	2015.11.11	2016.05.05	12	6830
116	Anconai szerelmesek	33	2008.06.03	2009.11.12	28	15765
117	aTMosfera	50	2021.06.11	2021.10.23	8	4847
118	Kurázsi mama és gyermekei	7	2009.12.19	2010.04.29	16	7442
119	Sóska, sültkrumpli	28	2021.10.06	2022.08.13	38	22326
120	Rokonok	19	2002.05.02	2003.12.23	19	11047
121	A köpeny / Gianni Schicchi	42	1997.12.18	1999.02.27	14	8054
122	A szabin nők elrablása	34	2007.01.04	2008.08.26	25	14076
123	A makrancos hölgy	28	2024.04.18	2025.06.01	21	12466
124	Pomádé király új ruhája	42	2003.11.18	2005.02.07	15	7987
125	Moliere, avagy az álszentek összeesküvése	7	2015.04.28	2016.08.01	18	9143
126	Cosi fan tutte	57	1995.03.18	1996.01.07	18	9914
127	Élve megégetve - boszorkánytéboly	19	2014.07.15	2014.12.16	12	6756
128	Hétköznapi őrületek	58	2016.04.12	2016.10.16	15	8629
129	Szerelmes Shakespeare	20	2012.03.12	2013.11.28	34	20184
130	A lakáj	42	2009.09.26	2010.07.26	13	6763
131	Háry János	62	1999.09.24	2000.05.14	5	2264
132	Tóték	29	2009.03.08	2009.09.03	16	9792
133	A mundérvásárhelyi búcsú	58	2005.05.04	2006.05.10	22	12925
134	Sörgyári Capriccio	19	2021.01.11	2022.01.11	12	6830
136	Hedda Gabler	7	2009.10.26	2011.06.28	17	8739
137	Kopogós römi	19	1994.05.02	1995.03.29	10	5324
138	Sly	42	2023.06.25	2024.02.08	16	9204
139	A cirkuszhercegnő	43	2012.03.02	2013.02.14	18	10796
140	A windsori víg nők	57	1998.11.12	1999.06.23	10	4957
141	Próbababák bálja	58	2023.02.18	2023.10.08	21	11824
142	Mesél a bécsi erdő	46	1998.09.26	2000.03.15	16	9694
143	Galilei élete	37	2001.09.26	2003.06.30	22	12118
144	A dzsungel könyve	51	2007.02.13	2007.08.04	5	2846
145	Valahol Európában	66	2023.02.16	2023.06.18	14	8311
146	Sybill	24	2004.01.21	2004.09.02	14	7711
147	A salemi boszorkányok	19	2005.07.01	2005.12.24	17	9676
148	Ahogy tetszik	28	2008.07.30	2009.08.11	34	20600
149	Traviata	42	2019.10.08	2020.10.10	13	7320
150	Az aranyszőrű bárány	22	2014.10.18	2015.07.31	6	3562
151	Simon Boccanegra	42	2012.01.17	2013.12.05	13	7320
152	Palacsintás király	3	2000.09.23	2002.04.09	12	7197
153	Murlin Murlo	7	1992.04.26	1993.10.27	15	8537
154	Elvesztve	55	2012.04.17	2013.12.17	15	8170
155	Bohémélet	42	2023.09.28	2025.03.12	17	9260
156	Don Pasquale	36	1996.10.03	1998.08.04	17	9884
157	Mumus	63	2018.10.09	2020.05.01	15	8446
158	Pornográfia	7	2010.05.21	2011.06.22	15	7711
159	Csaó bambino	46	2017.07.31	2018.12.10	21	11824
160	Bohémélet	42	2021.09.11	2023.05.19	14	7797
161	XIV. René	21	1999.09.15	2001.08.20	38	22326
162	Black Comedy	28	2001.07.24	2002.02.26	33	19388
163	Beszélő fejek	55	1995.08.12	1996.04.18	12	6756
164	A Zördög	28	2023.01.09	2024.07.08	20	11750
165	III. Richard	7	2009.04.07	2011.01.15	16	6854
166	Macskafogó	66	2010.06.15	2010.12.20	24	14100
168	Hat hét, hat tánc	58	2006.09.17	2008.06.03	18	10135
169	Balta a fejbe	46	2002.09.26	2002.12.30	13	7479
170	Játék a kastélyban	28	1997.08.21	1999.07.27	40	23256
171	Pillangókisasszony	42	2023.10.14	2024.10.25	17	9572
172	Utánképzés (ittas vezetőknek)	19	2006.11.03	2008.07.15	12	6610
173	Hókirálynő	3	2018.02.13	2018.08.30	13	7320
174	Kék róka	27	1997.09.02	1999.07.19	17	9884
175	Hal a zacskóban	16	1994.03.18	1995.07.22	14	8225
176	Karácsonyi ének	3	2007.01.11	2007.10.06	14	8140
178	A denevér	24	1997.02.21	1998.11.29	18	10025
180	Karácsonyi operagála	67	2007.03.16	2008.06.03	2	1200
181	Lukrécia meggyalázása	42	2022.07.05	2024.06.23	19	11047
183	Bors néni	22	2002.05.21	2003.05.22	6	3342
184	Musical Koncert- Musical Revolution	10	2004.01.27	2005.12.27	20	10894
185	Parázsfuvolácska	25	1998.09.17	1999.09.28	9	4682
186	A Kék Duna hangjai	44	2004.03.30	2005.10.25	10	5692
187	Simon Boccanegra	42	2006.12.15	2008.04.07	12	6536
188	Hamupipőke	22	2017.09.15	2018.03.13	9	5508
189	Liliomfi	28	2021.10.05	2023.09.24	35	21420
190	Tosca	30	1999.03.24	1999.12.11	14	8054
191	Don Pasquale	57	2016.08.15	2017.09.11	13	7160
192	Hoppláda	3	1998.08.09	2000.01.11	13	7956
193	Szentivánéji álom	42	2011.07.27	2011.11.23	16	8813
194	Tula	7	2014.05.16	2015.11.06	20	9302
195	Mária országa	19	2023.02.24	2023.09.01	20	11506
196	Hamupipőke	42	2017.11.18	2018.07.09	11	6059
197	Hab	56	2008.08.28	2009.12.03	34	20600
198	My Fair Lady	66	2016.06.20	2018.01.12	21	12466
199	Anyegin	42	2007.06.07	2009.05.02	20	10894
200	Szaffi	53	2013.08.22	2014.07.01	10	5141
201	Szilveszter 2015	44	2004.04.27	2005.08.25	17	9572
202	Tartuffe	58	1997.11.21	1998.04.10	16	9792
203	Jövőképtelen	13	2011.10.09	2013.06.10	6	3084
204	Szökevény csillagok	62	1997.09.06	1999.07.06	8	3133
205	Sóska, sültkrumpli	28	1993.07.29	1995.01.08	31	18782
206	Volpone	58	1992.11.11	1993.10.19	20	11873
207	Bánk bán	9	2020.02.03	2021.08.03	4	2424
208	Othello	64	1999.02.10	1999.09.17	10	5692
210	A sirály	42	2001.06.21	2003.02.18	11	5790
211	Kacsa	28	2006.10.03	2007.07.18	32	19192
212	Emmeline	42	2004.09.05	2005.03.26	14	7797
213	Vatrotehna 2.0	59	1998.01.25	1999.11.24	10	5447
214	Lajka, az űrkutya	42	2019.02.07	2020.05.22	20	10771
215	Ünnep	28	2005.09.15	2007.02.11	38	22791
216	Don Giovanni	42	1992.03.06	1994.02.21	10	5814
217	Utazás	8	2023.06.25	2023.11.19	35	21420
218	A trubadúr	42	2013.02.06	2014.05.30	13	7240
220	39 lépcsőfok	11	1999.08.23	2000.03.09	10	6120
221	János vitéz	62	2000.01.08	2001.01.07	4	1665
222	A nép ellensége	19	2022.11.05	2024.03.13	20	10037
223	János vitéz	62	2009.10.14	2010.05.08	7	2570
224	Képzelt riport egy amerikai popfesztiválról	54	2024.09.21	2026.04.22	10	5630
225	Az utolsó üzlet	19	2024.01.08	2024.05.28	15	7436
226	Szimpla szerda	35	2000.06.28	2001.11.02	11	5991
227	A kisfiú meg az oroszlánok	22	1998.06.10	1999.12.11	6	3378
228	Aranykoporsó	42	2021.07.16	2022.01.27	13	7081
229	Bohémélet	42	2012.09.18	2013.04.29	12	6389
230	Mr. A.	3	2020.02.10	2021.09.29	19	10465
231	János király	19	2007.02.28	2008.10.29	17	9884
232	Éjjeli menedékhely	19	2014.09.23	2016.07.27	16	8911
233	Az Atlantisz császára	42	1995.06.13	1996.05.15	13	7479
234	Egy csók és más semmi	21	2007.03.29	2008.11.12	38	22791
235	Falstaff	57	2018.01.03	2019.02.28	20	10037
236	Reviczky	7	1998.01.11	1999.12.05	20	10649
237	Ariadné Naxosban	42	1993.02.06	1994.02.16	11	6193
238	Emigránsok	7	2000.02.20	2001.05.23	13	5808
239	Don Giovanni	42	2005.02.08	2006.04.13	18	9364
240	Francesca da Rimini	42	2006.03.03	2006.08.25	11	5790
241	Szabadság, szerelem	65	2013.04.10	2015.02.09	12	6830
242	Csárdáskirálynő	43	2008.07.16	2010.03.12	16	9107
243	A bűvös szék	48	2003.09.12	2005.08.28	33	19388
245	Színházi bestiák	19	1992.02.18	1992.10.12	16	8911
246	A mosoly országa	24	2011.11.26	2013.06.28	22	12791
247	Sógornők	19	2013.11.23	2015.06.02	14	7111
248	Pipás Pista	19	2008.02.12	2008.08.21	19	9419
249	A dzsungel könyve	66	2023.05.25	2024.08.31	20	11873
250	A Vámpír	66	1993.10.28	1995.03.11	23	13513
251	A csengő / Rita	57	2023.06.10	2024.05.21	15	7344
252	A varázsfuvola	62	2013.06.24	2014.05.17	4	1640
253	Énekes madár	26	2010.09.21	2011.09.10	14	7626
254	Kazamaták	19	2015.09.14	2017.01.27	19	9768
255	Nagyon, nagyon, nagyon sötét dolog	16	2006.09.14	2007.11.27	16	9596
256	Ágacska	3	2005.08.18	2007.02.09	12	6830
257	Dühöngő ifjúság	2	2021.07.01	2022.12.06	9	5012
258	Csókos asszony	24	2006.01.24	2007.11.16	16	9204
259	Parasztbecsület / Bajazzók	42	2015.03.03	2017.01.20	17	9884
260	Kakukkfészek	19	2003.07.08	2004.04.16	11	6328
261	Szindbád	22	2010.06.27	2011.10.20	8	4700
262	Nyiratkozások	13	2020.04.19	2020.09.01	8	3819
263	A Félőlény	3	2016.12.04	2017.07.10	18	10135
264	Dulszka asszony erkölcse	46	2019.11.26	2020.07.24	23	13935
265	Bolha a fülbe	28	2022.02.12	2023.04.09	35	20992
266	Leonce és Léna	66	1996.07.03	1997.02.23	18	10906
267	Macbeth	42	2009.10.22	2010.05.09	16	9009
268	Veslefrikk	42	2006.08.17	2007.10.15	17	8947
269	Antigona	15	1997.01.03	1997.11.27	14	7968
270	A hülyéje	28	1997.09.21	1999.05.30	24	14100
271	Pör a szamár árnyékáért	6	2013.03.02	2013.12.06	30	15790
272	Nyolc nő	68	2012.06.14	2013.09.30	31	17454
273	Bánk bán	42	2002.07.31	2002.11.16	14	7540
274	Illatszertár	28	2013.07.16	2015.07.05	23	13513
275	Öltöző	7	2004.01.09	2005.06.03	12	6683
276	Emlékszel még?	32	1999.01.30	2000.03.12	2	1163
277	A tricikli	13	2005.04.10	2006.12.14	9	4572
278	A tizedes meg a többiek	28	2017.02.20	2017.08.15	23	13935
279	Játékosok & Cselédek	28	2023.04.04	2024.07.17	20	12240
280	1984	19	2022.02.05	2023.08.20	15	8721
281	A víg özvegy	43	2021.07.12	2022.09.23	16	8813
282	Parasztbecsület / Bajazzók	9	2005.04.08	2007.01.24	4	2399
283	Galócza	61	2016.10.09	2018.03.20	32	18605
284	Indul a bakterház	28	1994.07.23	1995.01.01	20	12118
285	Kávécsarnok / Május	19	2014.10.15	2016.01.28	19	10581
286	Ory grófja	57	2018.03.03	2019.05.29	18	9143
287	Vízkereszt, vagy amit akartok	28	2022.02.12	2022.06.06	39	23391
288	Figaro házassága	57	1992.05.11	1993.01.01	20	10526
289	István, a király	8	2008.03.21	2008.10.20	20	11506
290	A bűvös vadász	42	1992.01.29	1993.10.24	18	10465
291	Érzékeny töredékek	4	2020.06.20	2022.02.03	12	6610
292	Kalózkaland	24	2022.10.06	2023.07.15	12	6756
293	Mileva	42	2024.09.15	2025.02.27	12	6242
294	Liliomfi	28	1994.07.07	1995.10.01	22	13329
296	Balkánember	7	2021.05.16	2022.03.11	19	8721
297	Bánk bán	42	1995.09.07	1996.12.13	15	7895
298	A gyilkos	7	1996.10.19	1998.08.26	14	6426
299	A nap huszonötödik órája	19	2005.02.07	2006.02.15	10	5630
300	Szöktetés a Szerájból	57	2012.05.01	2013.05.06	10	5080
301	Farsangi kalamajka avagy A torkos csütörtök	42	2010.08.02	2011.11.12	12	6242
302	Frühling in Wien- Operettgála	24	2019.08.23	2019.11.27	17	9780
304	Marica grófnő	24	2022.04.23	2024.01.01	16	8813
305	Az alhangya	58	1999.11.20	2001.09.21	28	17136
306	Liliom - Egy csirkefogó élete és halála	46	2013.10.05	2014.12.12	18	9914
307	Vérnász	42	1998.12.31	1999.06.16	18	10465
308	Bolond Helga - egy város, ahol szeretik a mazsolát	7	2012.11.26	2013.04.25	19	9302
309	A szögedi röpülő tyúk	23	2016.09.05	2017.05.08	5	2448
310	Vaknyugat	16	2002.05.30	2003.06.11	20	11628
311	Akinek meg kell halnia	41	1992.07.28	1994.06.28	6	2901
312	Iván, a rettentő	58	2015.04.11	2016.12.13	18	10686
313	Otello	42	2003.12.19	2005.10.20	15	7803
314	Szent Johanna	19	2007.09.30	2009.05.17	13	7399
315	Dido és Aeneas	42	2010.02.02	2010.07.05	14	8054
316	Yorick utolsó monológja	55	2000.05.01	2002.04.19	14	7626
317	Egerek és emberek	19	2009.12.06	2010.06.06	17	8739
318	Boldogtalanok	19	2017.04.05	2017.10.21	11	6126
319	Hamupipőke	42	2012.11.21	2014.09.27	17	9884
320	A padlás	63	2004.04.06	2006.02.17	20	11628
321	A kölyök	66	2014.06.21	2015.10.03	19	11047
322	Orfeusz az alvilágban	24	2011.12.09	2013.04.01	15	8721
323	A kaukázusi krétakör	19	2021.03.25	2022.02.09	18	9033
324	A Vasgróf	28	1999.02.19	2000.06.27	20	11628
325	A csend	42	1994.01.06	1995.09.15	18	10465
326	Két korea újraegyesítése	5	2008.05.27	2009.07.13	8	4064
327	Svejk, a derék elsőháborús katona	28	2018.08.28	2020.04.27	33	19186
328	Johanna, avagy maradjunk már emberek	7	2008.07.18	2009.03.24	12	6903
329	Csapodár madárka	58	2000.02.20	2002.01.13	21	12081
331	Marica grófnő	24	2015.09.24	2016.12.16	24	13660
332	A fegyencgyarmaton	42	2021.01.03	2022.04.21	15	8629
333	A gyertyák csonkig égnek	42	2018.10.09	2019.02.08	11	5722
334	Szabadsághegy	37	2003.08.28	2004.02.20	21	11438
335	Tannhäuser	42	2011.11.16	2013.06.19	12	6903
336	Nemzeti drogéria	19	2007.12.05	2008.06.04	19	9535
337	Macskajáték	19	2016.08.19	2018.05.21	11	6261
338	Árgyélus királyfi	62	2016.08.21	2018.03.24	5	2081
339	Szabadon foglak	28	2000.10.03	2002.09.23	39	23391
340	Nyílt tengeren	13	2003.03.16	2004.04.07	9	4461
341	Világszép Nádszálkisasszony	22	2000.04.08	2000.12.06	10	6120
342	Ez történt Bécsben	24	2023.03.14	2024.06.09	13	7240
343	Evita	66	2019.10.31	2020.12.13	15	8721
344	Szentivánéji popfesztivál	21	2010.08.19	2011.07.04	26	15435
345	Traviata	42	1994.04.17	1994.11.22	13	7081
346	Hegedűs a háztetőn	66	2013.09.12	2015.05.11	18	10575
347	Luxemburg grófja	24	2003.07.15	2004.07.18	12	6683
348	Tóték	46	2020.09.30	2021.04.11	16	9204
349	Manon Lescaut	42	2024.01.09	2024.05.29	19	10814
350	Veszedelmes viszonyok	7	2013.04.05	2014.03.15	16	8225
351	Gianni Schicchi	57	2011.02.06	2013.01.10	13	6763
352	Csárdáskirálynő	24	1992.10.22	1994.05.16	12	6610
353	A salemi boszorkányok	64	2013.12.02	2014.12.05	15	8446
356	Szerelmi bájital	57	2005.03.09	2005.09.14	16	8029
357	Mechanikus narancs	51	1994.05.21	1996.01.08	6	3452
359	Lammermoori Lucia	42	1999.04.12	2000.01.25	17	9884
360	A rejtőzők	7	2002.12.22	2003.07.29	20	9792
361	Frankenstein	19	2024.08.02	2024.11.24	17	8531
362	Az ajtó	19	2024.08.19	2026.01.22	12	6756
363	Faust	42	2011.04.03	2012.09.19	19	10814
364	A pillangók szabadok	17	2024.12.10	2025.06.15	28	15080
365	West Side Story	66	2012.01.03	2012.06.10	19	11163
366	Az üvegcipő	28	1998.04.05	2000.01.08	22	12791
367	Csongor és Tünde	27	1997.03.11	1998.10.17	12	7344
368	Szása i Szása	46	1997.05.25	1998.11.13	23	13513
369	Kék Tesla	35	2020.07.19	2022.05.12	7	3556
370	Bob herceg	43	2021.07.08	2022.04.22	16	9694
371	Bál a Savoyban	45	1996.01.29	1996.06.10	8	4749
372	Mikszáth különös házassága	19	2022.07.05	2023.01.18	10	5814
373	A képzelt fösvény beteg	28	2005.08.20	2007.06.14	36	21591
374	Mandragóra	28	2014.05.03	2014.12.14	37	21965
375	Figaro házassága	57	1992.09.06	1993.08.08	13	6922
376	Köszönöm, Szeged!	12	2022.08.28	2024.01.26	3	1781
377	Pillangókisasszony	42	2006.12.11	2008.06.10	17	9780
378	Don Carlos	42	2013.02.02	2014.07.18	17	9364
379	Három nővér	7	2006.06.02	2008.03.05	19	9070
380	Ariadne Naxos szigetén	42	2022.02.13	2024.02.01	17	9780
381	Haláleset a családban	42	1992.03.04	1992.11.04	17	9156
383	A kalóz	42	2013.05.28	2014.09.18	13	7320
384	Memo - A felejtés nélküli ember	19	2015.05.26	2015.09.19	11	5655
385	A szent	19	2019.02.17	2019.08.30	19	10000
386	Faust elkárhozása	7	2006.10.18	2008.04.13	12	6169
387	Négyhangú opera	42	2023.02.28	2023.11.05	19	10814
388	Vita	42	2006.12.12	2007.09.05	12	6242
389	Az ifjúság betegségei	19	2000.06.06	2001.06.28	20	11383
391	Dollárpapa	28	2004.05.01	2005.11.05	22	13060
392	Mágnás Miska	24	2004.09.21	2005.05.16	17	9780
393	A dzsungel könyve	22	2004.12.03	2006.08.21	8	4602
394	A trubadúr	42	2017.10.01	2019.03.14	20	11016
395	Portugál	28	1993.09.28	1994.12.21	32	18801
396	Tirami su	28	1999.06.04	2000.02.01	36	21812
397	Pillangókisasszony	42	1995.04.04	1995.07.12	20	11383
398	Hat szereplő szerzőt keres	27	1999.08.03	2001.01.22	22	11444
399	Pillantás a hídról	7	1995.05.06	1996.12.08	20	10526
400	Hoffmann meséi	42	2001.05.13	2001.08.22	20	11138
401	Gyalog galopp	39	2006.04.23	2007.01.07	20	9914
402	Az eltört korsó	28	2018.02.28	2019.11.01	20	12240
403	Függöny fel!	28	2023.03.05	2024.11.06	23	13654
405	A varázsfuvola	42	2003.09.22	2004.06.20	13	6922
416	Diótörő	60	1993.06.17	1995.02.25	12	5949
418	Don Pasquale	57	2017.07.21	2019.06.02	13	7001
419	Ernanin	42	1996.05.16	1996.10.07	17	9572
420	Falstaff	64	2008.11.13	2009.05.25	14	8054
424	Homo Ludens	14	2023.10.21	2024.07.16	7	2913
432	Carmen	42	2000.03.18	2001.11.18	17	9468
433	Don Giovanni	42	1997.08.22	1997.12.02	11	6261
434	Élet-ritmusra	55	1992.02.01	1993.05.22	16	8519
435	Furcsa pár (női verzió)	28	1994.09.29	1996.03.06	30	17626
436	Hunyadi László	42	2018.09.24	2019.09.13	13	7240
437	Kabaré	66	2008.01.12	2008.07.15	16	9302
438	Lammermoori Lucia	42	2012.10.24	2014.02.11	20	10649
440	Lili bárónő	24	2007.08.27	2008.02.01	21	11567
442	Amerikai Elektra	19	2012.12.02	2014.04.17	13	7479
444	Maria Stuarda	31	2018.07.04	2019.02.26	5	3029
447	Nabucco	42	2008.06.21	2008.09.20	12	6830
450	Tévedések komédiája	28	2017.01.13	2018.07.26	39	23391
451	Tizenkét dühös ember	19	2012.04.28	2012.08.17	17	8531
452	Tosca	42	2008.10.29	2009.02.23	19	9884
453	Traviata	42	2009.11.11	2011.09.01	14	7626
455	Platonov	58	2013.07.06	2014.09.19	18	9364
456	Sevilla, se borbély	57	1992.02.20	1993.05.11	12	6830
457	Pillangókisasszony	42	2014.02.23	2015.12.14	20	11506
462	Windsori víg nők	1	2004.01.24	2004.11.14	7	3856
