ev	gyoztesid	csapat	ido	elony	szakaszok	specszakasz	tav	indulok	feladok	start	orszag
1983	36	Renault-Elf	105:07:52	0:04:04	22	1	3809	140	52	Nogent-sur-Marne	
1984	36	Renault-Elf	112:03:40	0:10:32	23	1	4021	170	46	Bondy	
1985	5	La Vie Claire	113:24:23	0:01:42	22	1	4109	180	36	Vannes	
1986	25	La Vie Claire	110:35:19	0:03:10	23	1	4094	210	78	Nanterre	
1987	61	Carrera Jeans-Vagabond	115:27:42	0:00:40	25	1	4231	207	72	West Berlin	DEU
1988	54	Reynolds	84:27:53	0:07:13	22	1	3286	198	47	Pontchâteau	
1989	25	AD Renting-W-Cup-Bottecchia	87:38:35	0:00:08	21	1	3285	198	60	Luxembourg City	LUX
1990	25	Z-Tomasso	90:43:20	0:02:16	21	1	3504	198	42	Futuroscope	
1991	48	Banesto	101:01:20	0:03:36	22	1	3914	198	40	Lyon	
1992	48	Banesto	100:49:30	0:04:35	21	1	3983	198	68	San Sebastián	ESP
1993	48	Banesto	95:57:09	0:04:59	20	1	3714	180	44	Luçon	
1994	48	Banesto	103:38:38	0:05:39	21	1	3978	189	72	Lille	
1995	48	Banesto	92:44:59	0:04:35	20	1	3635	189	74	Dinan	
1996	7	Team Telekom	95:57:16	0:01:41	21	1	3765	197	68	s-Hertogenbosc	NLD
1997	32	Team Telekom	100:30:35	0:09:09	21	1	3950	198	59	Rouen	
1998	45	Mercatone Uno-Bianchi	92:49:46	0:03:21	21	1	3875	189	93	Dublin	IRL
1999					20	1	3687	180	39	Montaigu	
2000					21	0	3662	197	70	Futuroscope	
2001					20	1	3458	189	45	Saint-Omer	
2002					20	1	3278	189	36	Luxembourg City	LUX
2003					20	1	3427	198	51	Saint-Denis	
2004					20	1	3391	188	41	Liege	BEL
2005					21	0	3359	189	34	Fromentine	
2006	52	Caisse d'Epargne Illes Balears	89:40:27	0:00:32	21	0	3657	176	37	Strasbourg	
2007	1	Discovery Channel	91:00:26	0:00:23	20	1	3570	189	48	London	GBR
2008	10	Team CSC	87:52:52	0:00:58	21	0	3559	180	36	Brest	
2009	1	Astana	85:48:35	0:04:11	21	0	3459	180	25	Monte-Carlo	MCO
2010	3	Team Saxo Bank	91:59:27	0:01:22	20	1	3642	197	27	Rotterdam	NLD
2011	9	BMC Racing Team	86:12:22	0:01:34	21	0	3430	198	30	Passage du Gois	
2012	8	Team Sky	87:34:47	0:03:21	20	1	3496	198	45	Liege	BEL
2013	12	Team Sky	83:56:20	0:04:20	21	0	3404	198	29	Porto-Vecchio	
2014	64	Astana	89:59:06	0:07:37	21	0	3660,5	198	34	Leeds	GBR
2015	12	Team Sky	84:46:14	0:01:12	21	0	3360,3	198	38	Utrecht	NLD
2016	12	Team Sky	89:04:48	0:04:05	21	0	3529	198	24	Mont Saint-Michel	
2017	12	Team Sky	86:20:55	0:00:54	21	0	3540	198	31	Düsseldorf	DEU
2018	23	Team Sky	83:17:13	0:01:51	21	0	3349	176	31	Noirmoutier-en-l'Île	
2019	14	Team Ineos	82:57:00	0:01:11	21	0	3366	176	21	Brussels	BEL
2020	63	UAE Team Emirates	87:20:13	0:00:59	21	0	3484	176	30	Nice	
2021	63	UAE Team Emirates	82:56:36	0:05:20	21	0	3414,4	184	43	Brest	
2022	34	Team Jumbo Visma	79:32:29	0:02:43	21	0	3328	176	41	Copenhagen	DNK
2023	34	Team Jumbo Visma	82:05:42	0:07:29	21	0	3406	176	26	Bilbao	ESP
2024	63	UAE Team Emirates	83:38:56	0:06:17	21	0	3498	176	35	Florence	ITA
